episode,reward,steps
318,6.299999999999995,35
319,-11.0,10
320,-11.9,25
321,-9.799999999999999,10
322,-7.1,25
323,-10.1,10
324,-10.0,15
325,-8.1,20
326,2.900000000000002,20
327,-2.3999999999999986,20
328,-11.5,15
329,-10.5,5
330,-14.100000000000001,50
331,-10.2,5
332,-10.5,5
333,0.1999999999999993,20
334,-7.699999999999999,10
335,-10.8,20
336,-7.8999999999999995,5
337,-10.5,5
338,-10.5,5
339,-10.799999999999999,20
340,-1.3999999999999986,40
341,-11.5,15
342,-6.5,20
343,4.900000000000004,20
344,-5.099999999999999,10
345,-10.5,5
346,-11.5,15
347,-10.5,5
348,-8.6,15
349,-3.8999999999999977,20
350,4.900000000000004,20
351,-9.299999999999999,5
352,-11.0,10
353,-10.5,5
354,-3.299999999999999,15
355,-10.5,5
356,-10.6,15
357,-11.0,10
358,-11.0,10
359,-10.4,10
360,-13.0,30
361,-10.5,5
362,-11.5,15
363,-10.7,10
364,-5.499999999999999,10
365,-11.5,15
366,-11.4,35
367,-8.3,20
368,-3.8999999999999986,15
369,-4.9999999999999964,40
370,-4.699999999999998,15
371,-7.300000000000001,35
372,-3.6999999999999975,20
373,-11.5,15
374,-10.299999999999999,15
375,-7.699999999999999,10
376,-10.2,5
377,-10.7,10
378,-5.8999999999999995,15
379,-2.8999999999999986,20
380,-11.700000000000001,30
381,-10.5,5
382,-10.5,5
383,-3.1999999999999984,20
384,-11.5,15
385,-10.5,5
386,-8.4,10
387,-12.0,20
388,-7.8999999999999995,5
389,-10.799999999999999,20
390,-10.2,5
391,-10.5,5
392,-10.5,5
393,-11.0,10
394,-11.5,15
395,-11.0,10
396,-10.2,5
397,-12.0,20
398,-2.9999999999999964,20
399,-11.0,10
400,7.1999999999999975,35
401,-0.9000000000000004,20
402,-1.0999999999999979,30
403,-10.2,5
404,-9.1,10
405,-11.0,10
406,-5.7,15
407,-11.5,15
408,-10.5,5
409,-10.299999999999999,15
410,-7.6,20
411,-11.0,10
412,2.9000000000000075,35
413,-1.3999999999999986,20
414,-10.4,10
415,-10.2,5
416,-8.5,20
417,-10.5,5
418,-7.299999999999999,20
419,-11.0,10
420,-11.0,10
421,-1.799999999999999,35
422,-11.0,10
423,-10.5,5
424,-11.0,10
425,-10.799999999999999,20
426,-7.6,15
427,-11.2,15
428,-6.8999999999999995,10
429,-8.0,15
430,-9.9,5
431,4.6,75
432,-9.799999999999999,10
433,-9.2,10
434,-12.0,20
435,-3.299999999999998,20
436,-11.0,10
437,-10.5,5
438,-6.9,15
439,-10.5,20
440,-11.0,10
441,-0.8999999999999968,20
442,-11.0,10
443,-11.0,10
444,-10.2,5
445,-10.5,5
446,-5.8999999999999995,20
447,-11.0,10
448,-11.0,10
449,-8.200000000000001,50
450,-10.2,5
451,-9.0,30
452,-9.6,15
453,-5.6,20
454,-11.0,10
455,-11.0,10
456,-10.5,5
457,-11.7,20
458,-6.899999999999997,40
459,-11.0,10
460,-5.499999999999999,10
461,-5.3,15
462,-10.1,20
463,-10.2,20
464,-8.5,20
465,-10.1,10
466,-9.299999999999999,15
467,-12.700000000000001,30
468,0.40000000000000036,15
469,-11.5,15
470,-9.5,10
471,-10.799999999999999,20
472,-11.5,15
473,3.200000000000003,20
474,-1.2999999999999972,20
475,-3.2999999999999963,20
476,-10.7,25
477,-6.1,10
478,-10.5,5
479,-8.6,10
480,-10.1,10
481,-12.5,25
482,-2.099999999999998,35
483,-5.299999999999997,15
484,-9.9,15
485,2.200000000000003,35
486,-11.7,20
487,-11.5,15
488,-11.0,10
489,-11.2,15
490,-7.199999999999999,5
491,-12.5,25
492,4.900000000000004,20
493,-7.699999999999999,10
494,-11.2,15
495,-10.5,5
496,-8.5,20
497,-3.799999999999999,20
498,-10.5,5
499,-12.0,20
500,-10.4,10
501,-8.1,15
502,-11.7,20
503,-10.1,10
504,-11.0,10
505,-10.5,5
506,-10.5,20
507,-11.0,10
508,-10.5,5
509,-10.7,10
510,-11.7,20
511,-9.2,10
512,-11.0,10
513,-10.0,15
514,-10.4,20
515,-9.799999999999999,20
516,-8.7,10
517,-7.199999999999999,20
518,-6.299999999999999,20
519,6.399999999999993,35
520,-11.0,10
521,-10.5,5
522,-10.299999999999999,15
523,2.100000000000003,20
524,-10.9,15
525,1.4000000000000128,55
526,-11.7,20
527,-10.5,5
528,-10.799999999999999,20
529,-10.7,10
530,-4.099999999999999,20
531,-9.9,20
532,-12.0,20
533,-11.0,10
