episode,reward,steps
321,-4.799999999999999,20
322,-11.2,30
323,-1.0000000000000018,20
324,-10.5,5
325,-0.3000000000000007,20
326,-10.5,5
327,-5.299999999999996,20
328,-11.0,10
329,-11.0,10
330,-11.5,15
331,-11.5,15
332,-10.5,5
333,-10.2,20
334,0.6999999999999993,20
335,1.8000000000000025,15
336,-7.5,30
337,-12.0,20
338,-10.5,5
339,-10.7,10
340,-11.0,10
341,-10.6,15
342,-4.299999999999997,20
343,2.5000000000000018,20
344,-2.7999999999999954,20
345,-13.0,30
346,-11.0,10
347,-9.299999999999999,5
348,-10.5,5
349,-9.8,20
350,-10.5,5
351,-10.5,5
352,-7.9,15
353,-7.799999999999999,10
354,-11.0,10
355,-11.0,10
356,-4.399999999999994,25
357,-3.9999999999999982,20
358,-11.2,15
359,-11.0,10
360,-4.799999999999998,20
361,-0.7999999999999954,20
362,-4.099999999999999,15
363,-6.0,15
364,-6.9,20
365,-12.5,25
366,-11.7,20
367,-5.799999999999999,10
368,-10.5,5
369,1.7763568394002505e-15,40
370,-10.5,5
371,24.4,80
372,-9.9,5
373,-10.5,5
374,-10.5,5
375,-10.2,5
376,-5.599999999999997,20
377,-11.5,15
378,-10.5,5
379,-1.6999999999999993,15
380,-10.5,5
381,5.999999999999991,65
382,-11.6,25
383,-11.0,10
384,-10.5,5
385,-11.4,20
386,-10.5,5
387,-11.0,10
388,-10.5,5
389,-11.5,15
390,-3.8999999999999986,15
391,-12.5,25
392,-3.3999999999999986,10
393,-2.9999999999999982,15
394,-10.5,5
395,9.699999999999998,30
396,-9.3,20
397,-10.5,5
398,1.3000000000000025,20
399,-10.5,5
400,-11.0,10
401,-11.0,10
402,-12.5,25
403,-11.0,10
404,-10.2,5
405,-10.5,5
406,-10.5,5
407,-10.5,5
408,-7.000000000000001,40
409,-11.0,10
410,-10.5,5
411,-10.5,5
412,-2.799999999999998,20
413,-10.4,30
414,-5.199999999999992,30
415,-8.1,20
416,1.8000000000000007,20
417,-7.8999999999999995,5
418,-8.8,20
419,-6.499999999999997,20
420,-10.299999999999999,15
421,-3.8999999999999986,15
422,-9.299999999999999,5
423,-7.399999999999997,30
424,-6.199999999999999,20
425,-11.2,15
426,-5.899999999999996,20
427,-10.5,5
428,-8.2,5
429,-11.0,10
430,-10.5,5
431,-14.100000000000001,50
432,-11.0,10
433,-9.6,5
434,-10.5,5
435,-10.5,5
436,-9.6,5
437,-10.5,5
438,-10.5,5
439,-11.5,30
440,-11.0,10
441,-0.29999999999999716,20
442,-1.9999999999999982,15
443,-6.5,5
444,-7.6,15
445,-12.0,20
446,-5.7,35
447,-11.4,20
448,-10.6,15
449,-10.5,5
450,-11.0,10
451,-10.5,5
452,-10.5,20
453,-11.2,15
454,-3.3999999999999986,10
455,-10.5,5
456,-10.9,15
457,0.5000000000000018,30
458,-10.299999999999999,15
459,-3.7999999999999874,50
460,-4.699999999999999,15
461,-8.6,5
462,-11.0,10
463,-7.4,20
464,-12.5,25
465,-5.699999999999999,15
466,-0.9999999999999982,15
467,-2.5999999999999988,15
468,5.999999999999984,35
469,-11.0,10
470,-9.2,10
471,-7.199999999999999,5
472,-10.5,5
473,-11.5,15
474,-11.0,10
475,-7.8999999999999995,5
476,20.399999999999977,45
477,-0.5999999999999996,20
478,-11.2,15
479,-10.5,5
480,-6.3999999999999995,15
481,-10.5,5
482,-7.199999999999999,20
483,-9.299999999999999,5
484,0.40000000000000213,15
485,-7.199999999999999,20
486,-11.0,10
487,-10.5,5
488,-10.5,5
489,-10.5,5
490,-0.8999999999999986,20
491,-12.0,20
492,-10.8,20
493,-12.5,25
494,-11.0,10
495,10.599999999999982,65
496,-11.2,15
497,-10.5,5
498,-2.299999999999997,20
499,-11.0,10
500,4.300000000000004,20
501,-9.299999999999999,5
502,-11.5,15
503,-10.1,10
504,-10.1,10
505,-9.1,10
506,-10.5,5
507,-11.5,15
508,1.5,20
509,-5.8999999999999995,20
510,-10.1,20
511,-4.099999999999996,25
512,11.599999999999968,55
513,-10.5,5
514,-8.5,15
515,-10.9,30
516,-11.0,10
517,-3.799999999999999,20
518,-10.5,5
