episode,reward,steps
305,-4.799999999999995,25
306,2.200000000000003,20
307,-4.799999999999997,20
308,-11.0,10
309,-10.7,25
310,-8.4,15
311,-6.8,20
312,-0.5999999999999979,15
313,-8.3,25
314,-7.6,25
315,0.10000000000000497,25
316,-9.5,10
317,-9.4,30
318,-11.5,15
319,-10.9,15
320,3.400000000000002,40
321,-2.5999999999999988,15
322,-2.8999999999999986,15
323,-7.5,15
324,-10.6,15
325,-11.0,10
326,1.6000000000000032,20
327,-10.2,5
328,-10.5,5
329,-8.2,30
330,-10.5,5
331,-10.5,5
332,-13.100000000000001,40
333,-8.2,15
334,-0.1999999999999993,20
335,2.3000000000000043,20
336,-10.5,5
337,-6.499999999999999,15
338,-11.0,10
339,-11.0,10
340,-7.9,10
341,-12.0,20
342,-2.8999999999999986,15
343,-4.599999999999999,20
344,-10.2,30
345,-10.5,5
346,-10.299999999999999,15
347,-8.7,20
348,-10.5,5
349,-10.5,5
350,-9.9,5
351,-2.099999999999998,20
352,-10.4,10
353,-10.5,5
354,-11.0,10
355,17.09999999999998,65
356,-12.5,25
357,-2.1999999999999984,15
358,-0.5,65
359,-11.0,10
360,-1.299999999999999,20
361,-7.0,15
362,-10.5,5
363,-10.5,5
364,1.1000000000000032,45
365,-10.5,5
366,-3.3999999999999986,15
367,-7.199999999999999,30
368,-11.5,15
369,-1.7999999999999972,20
370,-11.7,20
371,-6.699999999999999,20
372,-0.7999999999999918,35
373,-4.399999999999994,30
374,-8.1,20
375,17.79999999999997,95
376,-9.700000000000001,35
377,-9.9,40
378,-11.5,15
379,-10.9,30
380,-10.9,15
381,-10.5,5
382,21.599999999999973,70
383,-5.499999999999999,10
384,-4.899999999999994,25
385,-12.0,20
386,2.700000000000003,40
387,-10.5,5
388,-7.9,50
389,8.700000000000001,100
390,1.5000000000000107,65
391,-9.9,5
392,-8.6,5
393,-10.5,5
394,-11.600000000000001,35
395,-10.1,10
396,-0.5999999999999979,15
397,3.200000000000003,50
398,-11.0,10
399,-3.0999999999999988,15
400,-4.6,20
401,-9.299999999999999,15
402,-10.5,5
403,-8.4,30
404,0.20000000000000284,20
405,-4.499999999999997,35
406,-10.6,15
407,2.200000000000003,35
408,-11.0,10
409,7.000000000000005,40
410,2.3000000000000025,20
411,-6.6999999999999975,25
412,17.999999999999922,105
413,-6.800000000000001,20
414,-2.299999999999997,20
415,23.999999999999964,85
416,-6.099999999999994,25
417,-1.5,50
418,-7.0,25
419,-1.8999999999999986,20
420,9.499999999999998,75
421,-8.2,30
422,-10.0,40
423,-3.0999999999999988,15
424,25.199999999999925,120
425,-9.7,15
426,22.799999999999947,110
427,-1.6999999999999957,35
428,-8.7,15
429,-8.9,5
430,-10.5,5
431,-10.5,5
432,-11.0,10
433,-14.5,45
434,-9.9,30
435,13.999999999999973,65
436,-1.0000000000000018,15
437,-11.6,25
438,-4.999999999999995,25
439,10.299999999999992,45
440,-7.699999999999999,25
441,-10.4,10
442,-10.6,15
443,-7.1,25
444,16.699999999999974,70
445,1.6999999999999993,50
446,-3.799999999999998,15
447,-0.79999999999999,40
448,-10.5,5
449,-10.5,5
450,-12.4,30
451,-11.2,15
452,-10.5,5
453,-9.4,25
454,-5.099999999999993,30
455,-9.5,30
456,5.200000000000005,50
457,1.2434497875801753e-14,55
458,7.199999999999994,50
459,-1.599999999999996,25
460,-13.0,30
461,8.900000000000004,45
462,-11.0,10
463,-12.0,20
464,-4.699999999999998,15
465,-3.5999999999999988,15
466,-10.5,5
467,-10.9,15
468,30.89999999999997,125
469,-6.699999999999999,25
470,5.200000000000001,35
471,17.099999999999987,70
472,-13.200000000000001,50
473,-12.200000000000001,25
474,-4.499999999999999,20
475,-11.9,25
476,-2.4999999999999964,20
477,-9.7,30
478,-11.0,35
479,4.299999999999999,45
480,17.899999999999963,70
481,0.40000000000000746,40
482,-10.2,5
483,3.900000000000002,20
484,9.200000000000001,55
485,-12.8,40
486,-4.999999999999999,15
487,-10.5,5
488,-9.299999999999999,5
489,-12.2,25
490,10.6,45
491,3.0000000000000053,35
492,-7.300000000000001,40
493,1.9000000000000092,50
494,-13.0,30
495,-2.1999999999999984,20
496,14.099999999999964,90
497,-9.2,5
498,-8.700000000000001,40
499,-0.09999999999999432,100
500,4.100000000000007,35
501,-3.499999999999994,30
502,-9.6,5
503,-9.299999999999999,20
504,-9.9,5
505,-10.5,5
506,-1.3999999999999968,20
507,-12.2,25
508,-9.2,5
509,-10.2,20
510,3.0,50
511,-7.4,35
512,-11.5,15
513,-11.0,10
514,21.299999999999933,120
515,-3.1999999999999975,20
516,-9.000000000000002,50
517,-9.9,5
518,-12.0,35
519,-5.3,30
520,13.19999999999999,75
521,-3.6999999999999966,50
522,-11.5,15
523,1.9000000000000021,20
524,-10.4,10
525,-10.5,5
526,18.599999999999973,70
527,-11.5,15
528,18.599999999999937,100
529,7.3000000000000025,40
530,-12.5,25
531,-5.299999999999999,15
532,-7.699999999999999,10
