episode,reward,steps
311,-7.8,15
312,-11.5,15
313,-9.299999999999999,5
314,-10.5,5
315,-10.1,20
316,1.7000000000000064,60
317,-11.5,15
318,-12.0,20
319,-7.199999999999996,40
320,-12.5,25
321,-10.5,5
322,-11.7,20
323,-10.5,5
324,-10.9,15
325,-6.199999999999999,15
326,-6.5,5
327,-2.7999999999999954,20
328,-11.2,15
329,-4.299999999999996,20
330,-12.2,25
331,-5.3999999999999995,10
332,-0.09999999999999787,35
333,-7.799999999999999,15
334,-11.2,15
335,-6.1,15
336,-10.799999999999999,20
337,-6.5,5
338,-11.0,10
339,-3.9999999999999902,35
340,-9.299999999999999,15
341,-10.5,5
342,-11.5,15
343,-9.3,20
344,-9.9,5
345,-8.7,15
346,-2.9999999999999956,35
347,-11.0,10
348,-4.499999999999999,20
349,-11.0,10
350,-6.8,20
351,-4.299999999999999,15
352,-2.599999999999997,30
353,-11.0,35
354,-6.199999999999999,20
355,-3.099999999999998,20
356,-10.5,5
357,-2.6999999999999966,20
358,-12.5,25
359,-7.9,15
360,-9.5,20
361,-10.6,15
362,-6.699999999999999,15
363,-11.0,10
364,-6.499999999999998,10
365,-4.3,20
366,-4.8999999999999995,15
367,-8.6,15
368,-11.0,10
369,-5.499999999999999,10
370,-8.7,20
371,-10.2,20
372,-11.0,10
373,-10.5,5
374,-10.5,5
375,-11.5,15
376,-10.5,5
377,-9.3,20
378,-8.899999999999999,15
379,-0.3000000000000007,15
380,-10.5,5
381,-10.2,5
382,-9.4,20
383,-11.0,10
384,-5.8999999999999995,20
385,-10.1,10
386,-8.6,5
387,-10.5,5
388,-1.3999999999999986,20
389,-10.9,15
390,-11.5,15
391,-9.6,5
392,-11.0,10
393,-10.5,5
394,-6.199999999999999,15
395,3.7000000000000153,60
396,-9.5,20
397,-7.8999999999999995,15
398,-7.199999999999999,5
399,-10.5,5
400,2.100000000000003,20
401,-10.6,25
402,3.200000000000001,40
403,4.500000000000009,40
404,-6.5,5
405,-5.5,20
406,-7.8999999999999995,5
407,-10.5,20
408,-10.9,15
409,-5.899999999999999,20
410,-7.7,20
411,-5.199999999999996,20
412,-10.4,10
413,-6.1,15
414,-11.0,10
415,-1.599999999999989,55
416,-6.999999999999999,15
417,-8.6,15
418,-11.0,10
419,-10.5,5
420,-9.9,5
421,-5.399999999999994,25
422,-6.499999999999999,35
423,-5.899999999999998,35
424,-5.3,20
425,-10.2,20
426,-4.599999999999999,20
427,-10.2,5
428,-10.6,15
429,-11.5,15
430,-9.799999999999999,10
431,-10.6,15
432,-11.5,15
433,17.999999999999986,65
434,-9.9,15
435,-7.699999999999999,20
436,-10.2,5
437,-10.9,15
438,-11.4,20
439,-11.0,10
440,-3.9999999999999982,20
441,-10.5,5
442,-10.2,5
443,-6.499999999999998,15
444,-11.2,15
445,-10.0,15
446,-11.0,10
447,-9.4,15
448,-2.8999999999999977,20
449,-10.2,5
450,-0.1999999999999993,20
451,-10.4,10
452,-10.5,5
453,10.999999999999988,40
454,-2.8999999999999986,15
455,-10.2,20
456,-1.0999999999999979,20
457,-9.2,20
458,-1.5999999999999979,20
459,-10.7,10
460,-10.5,5
461,11.39999999999999,35
462,2.4000000000000092,40
463,-9.799999999999999,10
